,0
2018-03-31,-0.011504638208889691
2018-04-30,0.05117730642108169
2018-05-31,0.002507462534132621
2018-06-30,-0.014932092505003436
2018-07-31,0.03254814163715413
2018-08-31,0.0024946300998471807
2018-09-30,0.021987151165107605
2018-10-31,-0.06728084698514061
2018-11-30,0.006812642634101921
2018-12-31,-0.04315959456087005
2019-01-31,0.06721780614291605
2019-02-28,0.048958112104170046
2019-03-31,0.02147592870903607
2019-04-30,0.0485025153805097
2019-05-31,-0.02248027856139394
2019-06-30,0.047884703929473464
2019-07-31,0.014082197556461134
2019-08-31,0.0055922623504586055
2019-09-30,0.026613437624844225
2019-10-31,0.02221963438958333
2019-11-30,0.035990778441616404
2019-12-31,0.020826091244951585
2020-01-31,-0.0031623769306989387
2020-02-29,-0.06743756573701677
