,JPN_UNHEDGED,JPN_HEDGED,AUS_UNHEDGED,AUS_HEDGED,DEU_UNHEDGED,DEU_HEDGED,FRA_UNHEDGED,FRA_HEDGED,CHE_UNHEDGED,CHE_HEDGED,GBR_UNHEDGED,GBR_HEDGED,EQ_UNHEDGED,EQ_HEDGED,RP_UNHEDGED,RP_HEDGED,MV_UNHEDGED,MV_HEDGED
2011-09-30,0.7982413205375873,1.7308790304566453,3.571152667104882,0.615757986725117,1.1552613192027301,1.0640390965414483,1.2904737568144067,1.0124634509251482,1.9606024963222364,1.8642852711086682,1.2829629423642228,0.8624926619272084,0.7736707420064441,0.6138954227208749,1.2369134566090292,0.6145227655977129,1.40919314176697,0.6559700393256941
2011-10-31,0.7900749187023363,1.7336511361580562,3.804142355886723,0.6503342887497509,1.2550414004099268,1.1652389226373303,1.3680111509101025,1.0821446534639958,2.01967219749286,1.9477222680527897,1.3798196620993541,0.9238374849893695,0.8132683891002782,0.6484339010902624,1.2963578147377133,0.6487024092816015,1.5011319363634958,0.6853282985013966
2011-11-30,0.7518581510236314,1.6553189389445155,3.6809666722988603,0.619328801396892,1.2041456382498628,1.1481480476020944,1.28023140588535,1.0407199679998216,1.9259379877039904,1.9135270411755063,1.3503085486394066,0.9150810465405994,0.7789392864169323,0.6297544769207339,1.2413665115435732,0.6301122777329291,1.452526249425672,0.6732963178452908
2011-12-31,0.7632971708789257,1.6630186517858583,3.7282268699818433,0.6005316730725666,1.151974054987371,1.115803949226986,1.2520664255384752,1.033597339331728,1.9839734569823244,1.982786652691569,1.352402388704412,0.9183839728957978,0.7782137178687096,0.6275598092741872,1.2425726416201905,0.628709874733586,1.4711753391346825,0.697666102230733
2012-01-31,0.7723669356195054,1.7156194054248615,4.035467886230535,0.6235557795715907,1.2838227764233667,1.2115702426920234,1.3504923701585207,1.0852600243608874,2.0717738970208526,2.0171199934048683,1.4161110155224745,0.943283580142629,0.827334536136074,0.6537298776836327,1.3166506093353538,0.6536840695914531,1.5924140464448828,0.7120929247752958
2012-02-29,0.8094131830569227,1.881525500386662,4.057481267487738,0.630895361393113,1.3518310929035353,1.2752051151134518,1.4092178632471777,1.1319629516196117,2.142735940717405,2.0914972738775934,1.4800787743313835,0.9825452462398103,0.8589525869270217,0.6845124593358158,1.3676500766735125,0.6837179970013324,1.601100627161663,0.7383499324703382
2012-03-31,0.8506683629153977,1.9490957180852164,4.041165102821728,0.6306296671893534,1.3633451015822742,1.2875503934972679,1.4006159685085744,1.1263706591899867,2.188767955247384,2.138851361209187,1.4904441954952135,0.9759406394411705,0.8700971282582827,0.6909185025023056,1.3880383605500397,0.6900529401041176,1.5946621941147998,0.7452630029755556
2012-04-30,0.820993479133805,1.8419974178517895,3.9393893717898276,0.6290310258198211,1.3055204429873004,1.2652435955968537,1.299427860590433,1.0732548318430826,2.1105031076935417,2.121068441013058,1.4739998364489393,0.9674033435605167,0.8379733056731583,0.674909197226335,1.3374627591152959,0.6749746219034726,1.5545010261284573,0.7389316782324827
2012-05-31,0.7418856070959594,1.6560795940148623,3.6791244704503088,0.5790107678490414,1.196467674281908,1.1838927647296158,1.2173435949259157,1.0261023540026413,1.9957991622035915,2.0504929554053573,1.3502087686639395,0.9062527532310883,0.7754804184514015,0.6315836768147054,1.2373082201692756,0.632237463728189,1.4588837734213835,0.7058824615824582
2012-06-30,0.7957273596756834,1.768048949364186,3.810109015107902,0.57477858378608,1.1893826050249554,1.2002129916296949,1.2597558328436078,1.082073024407271,2.0036297635296374,2.104008768618314,1.4219523452037666,0.9500932939413457,0.8005741043742145,0.6529636762045593,1.2788840354643545,0.6531914132151333,1.5108230943942784,0.7317753764456651
